497,йогурт нежирный,г
498,йогурт обезжиренный,г
499,йогурт фруктовый,г
500,кабачки,г
501,кабачки замороженные,г
502,кабачки молодые,г
503,каджунская смесь специй,г
504,какао,г
505,какао-бобы,г
506,какао-масло,г
507,какао-порошок,г
508,какао-порошок обезжиренный,г
509,какао сгущенное,г
510,калина,г
511,калина протертая,г
512,калинджи семена,ч. л.
513,кальвадос,г
514,кальмары,г
515,кальмары вареные,г
516,кальмары замороженные,г
517,кальмары консервированные,г
518,кальмары филе,г
519,камамбер,г
520,камбала,г
521,камбала филе,г
522,кампари,мл
523,кандурин золотой,ч. л.
524,каннеллони,г
525,капеллини,г
526,каперсы,г
527,каперсы в винном уксусе,г
528,каперсы маринованные,г
529,капуста белокочанная,г
530,капуста брюссельская,г
531,капуста брюссельская замороженная,г
532,капуста кале,г
533,капуста квашеная,г
534,капуста кольраби,г
535,капуста краснокочанная,г
536,капуста морская,г
537,капуста морская замороженная,г
538,капуста морская сушеная,г
539,капуста пекинская,г
540,капуста савойская,г
541,капуста цветная,г
542,капуста цветная замороженная,г
543,капустный рассол,г
544,капучино,г
545,каракатица,г
546,каракатица очищенная,г
547,карамбола,г
548,карамель,г
549,карамельный соус,г
550,карамель с начинкой,г
551,карамель соленая,г
552,карась,г
553,карбонад,г
554,кардамон,г
555,кардамон зерна,г
556,кардамон молотый,г
557,кардамон стручки,г
558,каркаде,г
559,карп,г
560,карп зеркальный,г
561,карп филе,г
562,карри,г
563,карри листья,г
564,карри паста,г
565,картофель,г
566,картофель вареный,г
567,картофель вареный в мундире,г
568,картофель молодой,г
569,картофельное пюре,г
570,картофельные ньокки,г
571,картофельные хлопья,г
572,картофельные чипсы,г
573,картофельный крахмал,г
574,картофельный отвар,г
575,картофельный хэш замороженный,г
576,картофель печеный,г
577,катык,г
578,каффир-лайм листья,г
579,каша,г
580,каша для детского питания,г
581,каштановая мука,г
582,каштановый крем,г
583,каштаны,г
584,каштаны вареные,г
585,каштаны консервированные,г
586,каштаны очищенные,г
587,квас,г
588,квасное сусло,г
589,квасной концентрат сухой,г
590,квас хлебный,г
591,кедровая мука,г
592,кедровые орехи,г
593,кедровые орехи жареные,г
594,кета,г
595,кетчуп острый,г
596,кетчуп томатный,г
597,кетчуп тосканский,г
598,кетчуп шашлычный,г
599,кефаль,г
600,кефир,мл
601,кефир 1%,мл
602,"кефир 2,5%",мл
603,"кефир 3,2%",мл
604,кефир обезжиренный,мл
605,кешью,г
606,кивано,г
607,киви,г
608,киви желе,г
609,кижуч,г
610,кижуч горячего копчения филе,г
611,кизил,г
612,килька,г
613,кимчи,г
614,кинза свежая,г
615,кинза сушеная,г
616,киноа,г
